project_id,project_name,project_type,work_category,state,district,constituency,location,latitude,longitude,estimated_cost,sanctioned_amount,released_amount,utilized_amount,actual_cost,number_of_payments,sanction_date,work_order_date,planned_completion_date,actual_completion_date,delay_days,physical_progress,financial_progress,work_status,inspection_count,last_inspection_date,issues_reported,issues_resolved,implementing_agency,agency_type,contractor_id,contractor_name,contract_value,tender_id,estimated_tender_value,bid_count,winning_bid,second_lowest_bid,procurement_method,estimated_beneficiaries,population_served,dataset_type
MPLAD-BRI-0011,Bridge Project 11,bridge,bridge,Maharashtra,District B,Constituency 5,Location 11,18.97436,85.15642,5470000.0,5580475.88,5238603.66,4914868.59,5811825.68,4,2023-01-21,2023-02-05,2023-12-02,2023-12-22,20,73.5,72.3,Completed,2,2024-03-28,2,1,Rural Development Dept,Government,CONT-3705,Contractor 17,4953644.19,TND-79163,5646462.51,7,5254385.5,5426020.65,Direct Contract,2675,2914,synthetic
MPLAD-BRI-0012,Bridge Project 12,bridge,bridge,Uttar Pradesh,District C,Constituency 13,Location 12,23.31849,79.30053,5024000.0,5124234.93,3799650.58,2471457.11,5038260.5,5,2023-04-19,2023-05-12,2024-03-07,,18,44.7,47.1,Ongoing,1,2024-06-01,0,0,Municipal Corporation,Government,CONT-8177,Contractor 34,5211305.07,TND-69177,4995037.76,7,4316117.19,4395044.3,Open Tender,2708,2925,synthetic
MPLAD-BRI-0013,Bridge Project 13,bridge,bridge,Maharashtra,District B,Constituency 19,Location 13,24.41513,81.08532,3604000.0,3552092.55,3294046.64,1994444.86,3466805.62,7,2023-03-05,2023-03-29,2024-01-23,2024-03-10,47,64.6,60.1,Completed,0,,3,2,Zilla Parishad,Government,CONT-1117,Contractor 5,3478140.2,TND-92719,3567421.11,3,3540208.32,3854111.65,Open Tender,3001,2886,synthetic
MPLAD-BRI-0014,Bridge Project 14,bridge,bridge,Tamil Nadu,District A,Constituency 17,Location 14,27.54724,75.07339,5010000.0,5193966.67,4627414.39,4184851.86,5691675.13,4,2023-02-28,2023-03-14,2024-01-08,,31,20.3,23.4,Ongoing,5,2024-05-27,1,0,Zilla Parishad,Government,CONT-5562,Contractor 43,4973617.79,TND-73624,4928113.66,3,4424688.84,4798519.88,Open Tender,4085,3296,synthetic
MPLAD-BRI-0015,Bridge Project 15,bridge,bridge,Bihar,District D,Constituency 8,Location 15,29.49256,77.00563,3796000.0,3621075.13,2988776.79,2892181.35,4305279.1,9,2023-05-19,2023-06-06,2024-04-01,2024-05-10,39,81.9,81.1,Completed,3,2024-03-24,2,1,Rural Development Dept,Government,CONT-7669,Contractor 13,3803503.62,TND-22363,3887069.37,4,3364136.41,3667767.52,Open Tender,3783,3389,synthetic
MPLAD-BRI-0016,Bridge Project 16,bridge,bridge,Karnataka,District A,Constituency 4,Location 16,27.72464,82.71236,4514000.0,4448504.2,4390852.77,3763718.53,5018601.04,5,2023-06-18,2023-07-25,2024-05-20,2024-05-20,0,63.3,59.2,Completed,5,2024-02-20,3,3,PWD,Government,CONT-7596,Contractor 47,4629308.24,TND-54473,4679604.53,7,4036701.84,4319662.18,Open Tender,981,806,synthetic
MPLAD-BRI-0017,Bridge Project 17,bridge,bridge,Uttar Pradesh,District D,Constituency 6,Location 17,31.09214,76.74767,3432000.0,3556629.14,3428974.57,2365788.0,3587560.05,1,2023-03-05,2023-03-27,2024-01-21,2024-02-11,21,96.3,97.2,Completed,3,2023-11-11,2,1,Municipal Corporation,Government,CONT-8579,Contractor 16,3297398.03,TND-19880,3456529.54,5,2999654.75,3034908.57,Limited Tender,3762,3667,synthetic
MPLAD-BRI-0018,Bridge Project 18,bridge,bridge,Maharashtra,District A,Constituency 8,Location 18,18.93576,81.16239,5020000.0,5034241.8,4182955.28,3784744.27,4622028.61,8,2023-05-21,2023-06-06,2024-04-01,2024-04-21,20,72.9,68.3,Completed,4,2024-03-08,1,1,Zilla Parishad,Government,CONT-7658,Contractor 32,4807303.98,TND-73092,5139024.55,4,4584752.38,5020492.51,Open Tender,3233,3449,synthetic
MPLAD-BRI-0019,Bridge Project 19,bridge,bridge,Maharashtra,District D,Constituency 9,Location 19,28.78553,70.81394,4812000.0,4681784.75,3650768.56,2690365.02,4797886.87,7,2023-04-13,2023-04-26,2024-02-20,2024-02-24,4,70.4,69.9,Completed,0,,1,1,Rural Development Dept,Government,CONT-5673,Contractor 28,4426933.02,TND-82845,4608067.62,7,4573368.81,4905267.11,Direct Contract,2207,2383,synthetic
MPLAD-BRI-0020,Bridge Project 20,bridge,bridge,Maharashtra,District A,Constituency 11,Location 20,21.33036,83.84177,5736000.0,5895232.67,4976230.89,4848882.67,5752139.84,5,2023-05-05,2023-05-24,2024-03-19,2024-04-28,40,75.7,79.0,Completed,1,2023-09-12,0,0,PWD,Government,CONT-1821,Contractor 38,5174163.36,TND-72493,5492425.96,5,5338281.86,5871959.33,Direct Contract,2593,2849,synthetic
MPLAD-BRI-0021,Bridge Project 21,bridge,bridge,Maharashtra,District B,Constituency 3,Location 21,26.12329,81.16557,4065000.0,3945100.93,3059160.39,2154866.71,3903502.46,2,2023-05-16,2023-06-05,2024-03-31,2024-05-10,40,68.3,72.1,Completed,1,2024-02-20,1,1,PWD,Government,CONT-4853,Contractor 26,3846167.17,TND-25713,4193610.8,5,3917422.51,4260844.77,Direct Contract,2387,1930,synthetic
MPLAD-BRI-0022,Bridge Project 22,bridge,bridge,Bihar,District C,Constituency 9,Location 22,9.82072,72.31983,4318000.0,4492080.63,3976295.95,3867249.36,4755245.72,7,2023-03-05,2023-03-17,2024-01-11,2024-02-24,44,82.2,78.1,Completed,4,2023-10-17,3,2,Zilla Parishad,Government,CONT-6147,Contractor 16,3915904.34,TND-44814,4370163.89,3,3930144.07,4179079.73,Limited Tender,3764,3282,synthetic
MPLAD-BRI-0023,Bridge Project 23,bridge,bridge,Maharashtra,District A,Constituency 15,Location 23,28.96589,86.5757,3309000.0,3203134.26,2911490.29,2202342.27,3555245.5,1,2023-02-03,2023-03-04,2023-12-29,2024-02-09,42,95.0,95.2,Completed,4,2024-03-22,1,1,PWD,Government,CONT-2200,Contractor 35,3421944.74,TND-37938,3186152.84,3,3038185.43,3050129.19,Direct Contract,3308,2727,synthetic
MPLAD-BRI-0024,Bridge Project 24,bridge,bridge,Uttar Pradesh,District C,Constituency 10,Location 24,28.17704,71.60568,5313000.0,5475684.74,5062149.57,3392237.48,5149462.74,9,2023-03-09,2023-03-27,2024-01-21,,11,48.8,50.0,Ongoing,3,2023-05-01,3,1,Zilla Parishad,Government,CONT-8179,Contractor 35,5138265.29,TND-49651,5330329.55,2,5120372.03,5213708.16,Direct Contract,2263,2193,synthetic
MPLAD-BRI-0025,Bridge Project 25,bridge,bridge,Tamil Nadu,District A,Constituency 5,Location 25,10.1093,84.50557,4647000.0,4781377.87,4061936.66,2571326.58,4971247.12,8,2023-06-17,2023-07-30,2024-05-25,2024-06-27,33,81.5,82.4,Completed,2,2024-05-08,1,1,Municipal Corporation,Government,CONT-2891,Contractor 7,4869950.45,TND-82512,4696153.56,2,3997037.9,4087104.27,Open Tender,2876,3034,synthetic
MPLAD-BRI-0026,Bridge Project 26,bridge,bridge,Tamil Nadu,District B,Constituency 9,Location 26,26.42671,71.57122,2962000.0,2837665.24,2432881.99,1839139.07,3329854.8,4,2023-03-11,2023-04-08,2024-02-02,2024-02-27,25,94.6,97.8,Completed,1,2024-04-09,4,1,Rural Development Dept,Government,CONT-5114,Contractor 4,2809610.68,TND-22097,2939914.27,2,2823602.67,2973208.44,Direct Contract,2949,2984,synthetic
MPLAD-BRI-0027,Bridge Project 27,bridge,bridge,Uttar Pradesh,District C,Constituency 6,Location 27,12.34959,71.19693,5095000.0,5071699.53,4384894.72,3545583.57,5055807.33,8,2023-04-19,2023-05-16,2024-03-11,2024-03-06,-5,68.1,69.9,Completed,1,2023-11-02,0,0,Rural Development Dept,Government,CONT-8007,Contractor 36,4947117.27,TND-11267,5149058.91,4,4646151.56,5078024.89,Open Tender,3222,3484,synthetic
MPLAD-BRI-0028,Bridge Project 28,bridge,bridge,Tamil Nadu,District B,Constituency 14,Location 28,10.80555,86.91698,4092000.0,3907080.33,3650988.19,3339257.83,4420993.27,7,2023-01-20,2023-02-08,2023-12-05,2024-01-05,31,93.0,89.9,Completed,3,2024-04-10,3,3,Zilla Parishad,Government,CONT-1685,Contractor 20,4037261.07,TND-57795,4032814.32,3,3756699.34,4097233.66,Open Tender,3382,3338,synthetic
MPLAD-BRI-0029,Bridge Project 29,bridge,bridge,Uttar Pradesh,District B,Constituency 14,Location 29,8.29287,80.77197,5118000.0,5311782.38,4507722.41,6411956.88,4819532.01,4,2023-03-05,2023-03-21,2024-01-15,,299,55.9,60.9,Ongoing,4,2023-06-08,3,1,PWD,Government,CONT-3938,Contractor 48,4957039.07,TND-53540,5171205.64,1,4814284.35,4814284.35,Limited Tender,1456,1501,synthetic
MPLAD-BRI-0030,Bridge Project 30,bridge,bridge,Tamil Nadu,District C,Constituency 8,Location 30,28.17055,86.39235,4240000.0,4134762.8,3323145.24,2223207.87,4391287.91,1,2023-03-05,2023-04-01,2024-01-26,2024-12-12,321,76.0,75.6,Completed,3,2023-07-23,1,0,Zilla Parishad,Government,CONT-1387,Contractor 43,3913014.83,TND-35313,4272346.26,3,3675662.82,3704083.44,Limited Tender,3501,2910,synthetic
MPLAD-BRI-0031,Bridge Project 31,bridge,bridge,Tamil Nadu,District C,Constituency 17,Location 31,13.10434,79.27313,6214000.0,5937328.88,4753183.09,4302031.44,6212450.7,1,2023-03-26,2023-04-22,2024-02-16,,27,10.4,8.7,Ongoing,4,2024-05-21,2,1,Rural Development Dept,Government,CONT-9785,Contractor 22,5757010.31,TND-13617,6212985.73,7,5312611.48,5478085.07,Open Tender,2569,2224,synthetic
MPLAD-BRI-0032,Bridge Project 32,bridge,bridge,Maharashtra,District A,Constituency 20,Location 32,26.36855,71.85367,5111000.0,4931431.52,4065409.21,2571098.43,5827907.6,8,2023-03-08,2023-03-29,2024-01-23,2024-02-12,20,83.8,79.5,Completed,3,2023-08-11,1,1,Rural Development Dept,Government,CONT-6663,Contractor 47,5194458.25,TND-51114,5087125.92,3,4731883.69,4959528.91,Limited Tender,3094,2936,synthetic
MPLAD-BRI-0033,Bridge Project 33,bridge,bridge,Bihar,District B,Constituency 9,Location 33,22.47674,84.5233,3550000.0,3517600.63,2489110.16,1641164.88,3766549.59,4,2023-06-05,2023-07-17,2024-05-12,2024-05-20,8,88.6,90.2,Completed,0,,1,1,PWD,Government,CONT-8144,Contractor 1,3250437.82,TND-78146,3656470.21,4,3594745.6,3794872.85,Direct Contract,3517,3856,synthetic
MPLAD-BRI-0034,Bridge Project 34,bridge,bridge,Tamil Nadu,District C,Constituency 4,Location 34,31.38913,84.03566,4921000.0,4744376.38,3899486.89,2819782.23,5590760.06,1,2023-06-25,2023-07-17,2024-05-12,2024-06-04,23,89.4,92.9,Completed,3,2023-08-21,4,0,Municipal Corporation,Government,CONT-9308,Contractor 20,5042047.62,TND-97410,4844819.05,7,4381720.65,4759016.6,Limited Tender,2570,2225,synthetic
MPLAD-BRI-0035,Bridge Project 35,bridge,bridge,Uttar Pradesh,District B,Constituency 14,Location 35,10.55789,72.52033,4475000.0,4609185.23,3814396.0,2321206.2,5028280.3,9,2023-03-25,2023-04-29,2024-02-23,2024-03-30,36,70.7,71.1,Completed,2,2024-02-06,3,1,Rural Development Dept,Government,CONT-3851,Contractor 40,4641223.07,TND-84593,4303943.61,5,3979915.25,4006650.49,Limited Tender,2958,3005,synthetic
MPLAD-BRI-0036,Bridge Project 36,bridge,bridge,Tamil Nadu,District B,Constituency 14,Location 36,19.42521,81.94608,2760000.0,2824082.94,2189283.31,1840261.78,2667883.89,6,2023-04-14,2023-05-29,2024-03-24,,61,77.0,76.0,Ongoing,4,2023-10-31,0,0,Municipal Corporation,Government,CONT-8618,Contractor 29,2830550.7,TND-67954,2742665.38,5,2627080.92,2705137.2,Direct Contract,2870,2783,synthetic
MPLAD-BRI-0037,Bridge Project 37,bridge,bridge,Uttar Pradesh,District A,Constituency 10,Location 37,10.19797,86.51164,4466000.0,4483793.79,3356586.7,3087325.58,4320755.88,1,2023-02-24,2023-04-07,2024-02-01,2024-02-04,3,93.9,98.5,Completed,2,2024-05-18,1,1,Municipal Corporation,Government,CONT-2530,Contractor 49,4327340.65,TND-40784,4276611.86,3,4147938.8,4436094.64,Direct Contract,3373,3063,synthetic
MPLAD-BRI-0038,Bridge Project 38,bridge,bridge,Maharashtra,District A,Constituency 8,Location 38,10.76677,77.59173,3440000.0,3421425.99,2585023.78,2083328.47,3913204.12,2,2023-03-21,2023-04-14,2024-02-08,,25,74.5,76.1,Ongoing,4,2023-06-28,2,2,Rural Development Dept,Government,CONT-2193,Contractor 30,3389059.74,TND-64321,3582927.97,7,3110262.33,3337629.87,Direct Contract,3366,2887,synthetic
MPLAD-BRI-0039,Bridge Project 39,bridge,bridge,Bihar,District D,Constituency 2,Location 39,23.06013,85.72619,5416000.0,5497330.64,4449589.86,3617771.67,5747116.16,9,2023-04-09,2023-05-20,2024-03-15,2024-07-30,137,79.2,100.0,Completed,4,2023-07-13,3,2,Zilla Parishad,Government,CONT-2988,Contractor 30,5678953.28,TND-27477,5145328.64,1,4781762.65,4781762.65,Limited Tender,2689,2538,synthetic
MPLAD-BRI-0040,Bridge Project 40,bridge,bridge,Tamil Nadu,District D,Constituency 20,Location 40,31.57593,85.91558,5451000.0,5406174.67,4467701.13,3932833.65,5952864.59,8,2023-06-20,2023-08-02,2024-05-28,,13,38.4,36.3,Ongoing,2,2024-06-01,0,0,Rural Development Dept,Government,CONT-9976,Contractor 29,5461613.6,TND-30861,5297420.19,3,5136899.87,5269936.66,Direct Contract,2830,2763,synthetic
MPLAD-ROA-0041,Road Project 41,road,road,Karnataka,District D,Constituency 18,Location 41,31.91206,86.15385,4039000.0,4237383.01,3260672.63,3124500.66,3803762.53,3,2023-05-03,2023-05-13,2024-01-08,,10,62.0,63.1,Ongoing,2,2023-10-12,1,1,Zilla Parishad,Government,CONT-8999,Contractor 15,4222230.83,TND-45774,4194011.12,4,3940655.57,4147552.4,Limited Tender,5108,4839,synthetic
MPLAD-ROA-0042,Road Project 42,road,road,Karnataka,District B,Constituency 15,Location 42,29.46752,87.84656,2231000.0,2169383.71,1868039.67,1541725.22,2133081.73,2,2023-05-05,2023-05-16,2024-01-11,2024-01-18,7,95.1,92.8,Completed,6,2024-04-22,0,0,Zilla Parishad,Government,CONT-9751,Contractor 2,2094826.6,TND-61645,2280845.03,3,2120935.85,2324995.75,Direct Contract,5164,4300,synthetic
MPLAD-ROA-0043,Road Project 43,road,road,Uttar Pradesh,District D,Constituency 6,Location 43,10.01836,75.8758,1434000.0,1480559.25,1190877.12,1021351.16,1502978.19,9,2023-05-25,2023-06-05,2024-01-31,2024-02-06,6,82.6,80.3,Completed,10,2024-01-10,2,0,PWD,Government,CONT-5262,Contractor 25,1468233.18,TND-52906,1380779.94,4,1221015.1,1331968.9,Open Tender,4189,3593,synthetic
MPLAD-ROA-0044,Road Project 44,road,road,Tamil Nadu,District D,Constituency 9,Location 44,31.76356,82.16894,3388000.0,3306621.45,2943560.07,2370138.21,3584346.06,4,2023-04-27,2023-05-27,2024-01-22,2024-02-06,15,90.4,90.8,Completed,4,2023-12-07,2,1,PWD,Government,CONT-8705,Contractor 2,3083427.58,TND-80702,3415839.35,2,2933140.5,2955049.42,Open Tender,5219,5509,synthetic
MPLAD-ROA-0045,Road Project 45,road,road,Maharashtra,District A,Constituency 8,Location 45,14.55823,87.11554,3497000.0,3345099.46,3165982.38,2346932.42,3482673.02,8,2023-03-31,2023-04-24,2023-12-20,2024-02-03,45,92.8,90.3,Completed,0,,1,1,Zilla Parishad,Government,CONT-1333,Contractor 40,3595375.74,TND-29973,3506450.33,6,3345337.12,3419192.0,Open Tender,5243,5223,synthetic
MPLAD-ROA-0046,Road Project 46,road,road,Tamil Nadu,District A,Constituency 19,Location 46,11.68779,78.16649,2746000.0,2867816.93,2368582.18,1995861.76,5343353.09,2,2023-05-25,2023-06-17,2024-02-12,,183,88.7,100.0,Ongoing,1,2023-08-14,0,0,PWD,Government,CONT-6111,Contractor 37,2666315.16,TND-98781,2874565.92,1,2531213.93,2531213.93,Limited Tender,4308,3564,synthetic
MPLAD-ROA-0047,Road Project 47,road,road,Uttar Pradesh,District A,Constituency 10,Location 47,31.3928,82.99398,3289000.0,3135247.86,3060799.38,2553707.93,3068016.1,9,2023-04-12,2023-05-04,2023-12-30,2024-02-07,39,91.9,91.7,Completed,1,2024-04-21,2,1,PWD,Government,CONT-1672,Contractor 23,3247215.59,TND-79827,3213021.93,4,3205480.04,3253427.82,Limited Tender,6962,6395,synthetic
MPLAD-ROA-0048,Road Project 48,road,road,Bihar,District C,Constituency 20,Location 48,27.71458,70.7413,2827000.0,2906113.87,2068820.75,2780809.72,3152191.5,1,2023-06-15,2023-07-16,2024-03-12,,243,88.9,100.0,Ongoing,3,2024-03-07,2,1,Rural Development Dept,Government,CONT-8616,Contractor 28,2577621.21,TND-87656,2797860.21,3,2788403.32,2844410.94,Limited Tender,4596,4632,synthetic
MPLAD-ROA-0049,Road Project 49,road,road,Tamil Nadu,District D,Constituency 8,Location 49,16.0855,73.27812,3095000.0,3129956.22,2471572.33,2361282.59,3262597.8,7,2023-03-24,2023-04-18,2023-12-14,,33,85.8,87.1,Ongoing,6,2023-06-01,1,0,Rural Development Dept,Government,CONT-7209,Contractor 22,2989123.4,TND-13761,3164583.82,5,2807193.08,2851980.35,Limited Tender,4679,5113,synthetic
MPLAD-ROA-0050,Road Project 50,road,road,Tamil Nadu,District C,Constituency 9,Location 50,16.30244,76.6787,3191000.0,3045382.43,2279474.12,1385754.39,3217848.54,4,2023-03-25,2023-04-15,2023-12-11,2023-12-11,0,81.7,81.6,Completed,1,2023-10-13,1,0,Municipal Corporation,Government,CONT-1166,Contractor 34,3274182.54,TND-35042,3087035.09,6,2960699.29,3180592.36,Open Tender,6198,5749,synthetic
MPLAD-ROA-0051,Road Project 51,road,road,Uttar Pradesh,District D,Constituency 16,Location 51,18.68733,79.26671,4397000.0,4435719.27,3144119.14,2359019.27,4522309.96,9,2023-03-03,2023-04-08,2023-12-04,2023-12-29,25,84.2,85.2,Completed,5,2024-04-30,2,2,Rural Development Dept,Government,CONT-1282,Contractor 6,4374492.11,TND-48566,4341091.55,3,3807773.45,4133103.94,Open Tender,3349,3554,synthetic
MPLAD-ROA-0052,Road Project 52,road,road,Tamil Nadu,District D,Constituency 18,Location 52,8.88011,83.25524,2977000.0,2856509.35,2558395.39,1838504.53,3172455.89,5,2023-04-14,2023-05-09,2024-01-04,2024-02-08,35,60.4,61.3,Completed,3,2024-03-01,2,2,Municipal Corporation,Government,CONT-7971,Contractor 48,2879994.68,TND-82140,3003163.18,5,2871073.8,2919032.76,Limited Tender,4704,3999,synthetic
MPLAD-ROA-0053,Road Project 53,road,road,Uttar Pradesh,District A,Constituency 7,Location 53,18.91376,79.28073,3673000.0,3653301.2,3504483.44,2845967.5,3953420.32,2,2023-04-01,2023-05-10,2024-01-05,2024-01-27,22,81.6,76.9,Completed,2,2023-09-15,0,0,Municipal Corporation,Government,CONT-2958,Contractor 48,3404876.75,TND-80236,3521876.47,2,3261557.75,3275116.98,Direct Contract,5139,5449,synthetic
MPLAD-ROA-0054,Road Project 54,road,road,Tamil Nadu,District C,Constituency 4,Location 54,24.23632,73.88215,3204000.0,3214331.29,2371284.37,1542358.21,3158065.44,5,2023-02-17,2023-03-11,2023-11-06,2023-11-15,9,67.5,69.8,Completed,1,2023-11-13,4,0,Zilla Parishad,Government,CONT-5853,Contractor 15,3000937.19,TND-57301,3310013.05,2,2828598.33,3091926.32,Open Tender,5505,5542,synthetic
MPLAD-ROA-0055,Road Project 55,road,road,Maharashtra,District C,Constituency 16,Location 55,23.12501,80.97697,3378000.0,3262907.3,2876207.68,2073407.47,6346785.48,5,2023-02-02,2023-03-01,2023-10-27,2024-04-24,180,94.7,99.6,Completed,0,,0,0,Rural Development Dept,Government,CONT-8216,Contractor 22,3496927.04,TND-34164,3505651.63,4,3436713.32,3565821.1,Open Tender,5979,5372,synthetic
MPLAD-ROA-0056,Road Project 56,road,road,Karnataka,District D,Constituency 3,Location 56,12.69867,70.13613,2399000.0,2410635.08,2118817.2,1710650.41,2387256.72,5,2023-03-06,2023-04-15,2023-12-11,2023-12-26,15,83.5,80.2,Completed,8,2023-05-18,1,1,PWD,Government,CONT-3485,Contractor 10,2301012.36,TND-83772,2410854.48,7,2308919.84,2529542.6,Limited Tender,4965,3999,synthetic
MPLAD-ROA-0057,Road Project 57,road,road,Karnataka,District B,Constituency 17,Location 57,27.04177,73.33411,2886000.0,2759093.17,2704824.04,1984303.87,3266255.42,8,2023-01-22,2023-02-16,2023-10-14,2023-11-08,25,64.1,64.0,Completed,2,2024-03-13,2,2,Rural Development Dept,Government,CONT-8381,Contractor 29,2776425.41,TND-48974,2776876.33,4,2411670.99,2618933.8,Direct Contract,4459,3962,synthetic
MPLAD-ROA-0058,Road Project 58,road,road,Bihar,District A,Constituency 7,Location 58,11.5929,77.63101,3231000.0,3225683.6,3037941.6,2457956.28,3685704.18,5,2023-04-20,2023-05-19,2024-01-14,2024-02-04,21,98.1,99.1,Completed,3,2023-06-18,4,1,Zilla Parishad,Government,CONT-5335,Contractor 43,3041084.75,TND-20641,3335236.69,5,3170855.22,3427545.45,Open Tender,4570,4707,synthetic
MPLAD-ROA-0059,Road Project 59,road,road,Maharashtra,District D,Constituency 15,Location 59,14.35749,81.61522,3236000.0,3144337.0,2291323.55,1395376.32,3610402.84,4,2023-03-03,2023-03-24,2023-11-19,2023-11-27,8,85.7,86.8,Completed,2,2023-06-12,3,2,Rural Development Dept,Government,CONT-5771,Contractor 3,3260721.96,TND-40340,3298272.34,5,3208579.32,3402127.05,Limited Tender,5681,5861,synthetic
MPLAD-ROA-0060,Road Project 60,road,road,Maharashtra,District B,Constituency 9,Location 60,26.11611,73.0686,2877000.0,2826184.0,2170500.61,1595097.85,2727300.57,9,2023-06-30,2023-07-28,2024-03-24,2024-04-13,20,62.7,65.7,Completed,4,2024-03-16,1,1,Zilla Parishad,Government,CONT-7965,Contractor 8,2790059.48,TND-81376,2750452.95,5,2374507.59,2602855.85,Open Tender,4230,4189,synthetic
MPLAD-ROA-0061,Road Project 61,road,road,Maharashtra,District A,Constituency 6,Location 61,17.52756,78.04965,1949000.0,2041414.69,1441254.91,1268489.5,1812486.68,4,2023-06-15,2023-07-04,2024-02-29,,12,71.5,68.9,Ongoing,2,2023-09-14,4,0,Municipal Corporation,Government,CONT-5728,Contractor 29,1788494.69,TND-26299,1895861.94,6,1713897.99,1728919.06,Limited Tender,5087,4535,synthetic
